PC: 85	Inst: SETQ 1	Regs: [8, 0, 1, 0]	Q: 1
PC: 86	Inst: XOR $3 F  	Regs: [8, 0, 1, 0]	Q: 1
PC: 87	Inst: LW $0 2	Regs: [8, 0, 1, 1]	Q: 1
PC: 88	Inst: MOV $1 F	Regs: [8, 0, 1, 1]	Q: 0
PC: 89	Inst: LW $0 3	Regs: [8, 0, 1, 1]	Q: 0
PC: 90	Inst: MOV $2 F  	Regs: [8, 0, 1, 1]	Q: 0
PC: 91	Inst: LSL $1 F  	Regs: [8, 0, 0, 1]	Q: 0
PC: 92	Inst: LSL $2 F  	Regs: [8, 0, 0, 1]	Q: 0
PC: 93	Inst: BGE 1     	Regs: [8, 0, 0, 1]	Q: 0
PC: 95	Inst: MOV $2 Q	Regs: [8, 0, 0, 1]	Q: 0
PC: 96	Inst: ADD $3 Q  	Regs: [8, 0, 0, 1]	Q: 0
PC: 97	Inst: MOV $2 F	Regs: [8, 0, 0, 1]	Q: 1
PC: 98	Inst: SW $0 3   	Regs: [8, 0, 1, 1]	Q: 1
PC: 99	Inst: MOV $1 Q	Regs: [8, 0, 1, 1]	Q: 1
PC: 100	Inst: SW $0 2   	Regs: [8, 0, 1, 1]	Q: 0
PC: 101	Inst: SETQ 31	Regs: [8, 0, 1, 1]	Q: 0
PC: 102	Inst: JUMPQ     	Regs: [8, 0, 1, 1]	Q: 31
PC: 32	Inst: print	Regs: [8, 0, 1, 1]	Q: 31
PC: 33	Inst: LW $0 7   	Regs: [8, 0, 1, 1]	Q: 31
PC: 34	Inst: MOV $3 F  	Regs: [8, 0, 1, 1]	Q: 13
PC: 35	Inst: DEC $3 F  	Regs: [8, 0, 1, 13]	Q: 13
PC: 36	Inst: MOV $3 Q	Regs: [8, 0, 1, 12]	Q: 13
PC: 37	Inst: SW $0 7	Regs: [8, 0, 1, 12]	Q: 12
PC: 38	Inst: CLR $3 Q	Regs: [8, 0, 1, 12]	Q: 12
PC: 39	Inst: CMP $3	Regs: [8, 0, 1, 12]	Q: 0
PC: 40	Inst: BNE 2  	Regs: [8, 0, 1, 12]	Q: 0
PC: 43	Inst: LW $0 4	Regs: [8, 0, 1, 12]	Q: 0
PC: 44	Inst: MOV $3 F  	Regs: [8, 0, 1, 12]	Q: 0
PC: 45	Inst: CLR $3 Q	Regs: [8, 0, 1, 0]	Q: 0
PC: 46	Inst: SW $0 4   	Regs: [8, 0, 1, 0]	Q: 0
PC: 47	Inst: 	Regs: [8, 0, 1, 0]	Q: 0
PC: 48	Inst: LW $0 5	Regs: [8, 0, 1, 0]	Q: 0
PC: 49	Inst: MOV $1 F	Regs: [8, 0, 1, 0]	Q: 0
PC: 50	Inst: LW $0 6	Regs: [8, 0, 1, 0]	Q: 0
PC: 51	Inst: MOV $2 F  	Regs: [8, 0, 1, 0]	Q: 1
PC: 52	Inst: LSL $1 F  	Regs: [8, 0, 1, 0]	Q: 1
PC: 53	Inst: LSL $2 F  	Regs: [8, 0, 1, 0]	Q: 1
PC: 54	Inst: BGE 1     	Regs: [8, 0, 2, 0]	Q: 1
PC: 56	Inst: MOV $2 Q	Regs: [8, 0, 2, 0]	Q: 1
PC: 57	Inst: ADD $3 Q	Regs: [8, 0, 2, 0]	Q: 2
PC: 58	Inst: MOV $2 F  	Regs: [8, 0, 2, 0]	Q: 2
PC: 59	Inst: SW $0 6   	Regs: [8, 0, 2, 0]	Q: 2
PC: 60	Inst: MOV $1 Q	Regs: [8, 0, 2, 0]	Q: 2
PC: 61	Inst: SW $0 5   	Regs: [8, 0, 2, 0]	Q: 0
PC: 62	Inst: 	Regs: [8, 0, 2, 0]	Q: 0
PC: 63	Inst: CLR $3 F	Regs: [8, 0, 2, 0]	Q: 0
PC: 64	Inst: LW $0 1	Regs: [8, 0, 2, 0]	Q: 0
PC: 65	Inst: CMP $2	Regs: [8, 0, 2, 0]	Q: 7
PC: 66	Inst: BGE 1	Regs: [8, 0, 2, 0]	Q: 7
PC: 67	Inst: INC $3 F	Regs: [8, 0, 2, 0]	Q: 7
PC: 68	Inst: SUB $2 F	Regs: [8, 0, 2, 1]	Q: 7
PC: 69	Inst: LW $0 0	Regs: [8, 0, 251, 1]	Q: 7
PC: 70	Inst: ADD $3 Q	Regs: [8, 0, 251, 1]	Q: 0
